Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,7,221,Lester Towns,LB,2005,0,0,2,17,61,,,,,,,,,,,,1,,Washington
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,2,34,Chris Terry,T,2007,0,0,7,41,100,,,,,,,,,,,,,,Georgia
1999,2,38,Mike Rucker,DE,2007,0,1,7,55,139,,,,,,,,,,,,1,55.5,Nebraska
1999,4,100,Hannibal Navies,LB,2007,0,0,3,23,96,,,,,,,,,,,,1,4.5,Colorado
1999,6,175,Robert Daniel,DE,,0,0,0,,,,,,,,,,,,,,,,
1999,7,211,Tony Booth,DB,,0,0,0,,,,,,,,,,,,,,,,James Madison
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,14,Jason Peter,DE,2001,0,0,2,10,38,,,,,,,,,,,,,7.5,Nebraska
1998,3,62,Chuck Wiley,DE,2004,0,0,1,14,79,,,,,,,,,,,,1,6.5,LSU
1998,3,73,Mitch Marrow,DE,,0,0,0,,,,,,,,,,,,,,,,Pennsylvania
1998,4,106,Donald Hayes,WR,2002,0,0,2,17,63,,,,,,,,,144,1988,9,,,Wisconsin
1998,5,136,Jerry Jensen,LB,1998,0,0,0,0,10,,,,,,,,,,,,,,Washington
1998,6,165,Damien Richardson,DB,2002,0,0,1,7,77,,,,,,,,,,,,1,1.0,Arizona St.
1998,7,196,Viliami Maumau,DT,1999,0,0,0,0,1,,,,,,,,,,,,,,Colorado
1998,7,228,Jim Turner,WR,,0,0,0,,,,,,,,,,,,,,,,Syracuse
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
