Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,2,55,Bryan Scott,DB,2012,0,0,3,28,143,,,,,,,,,,,,11,10.5,Penn St.
2003,4,121,Justin Griffith,FB,2009,0,0,6,19,96,,,,,,94,413,1,141,989,12,,,Mississippi St.
2003,5,159,Jon Olinger,WR,,0,0,0,,,,,,,,,,,,,,,,Cincinnati
2003,6,196,LaTarence Dunbar,WR,2003,0,0,0,0,5,,,,,,,,,,,,,,TCU
2003,6,202,Waine Bacon,DB,2004,0,0,0,1,11,,,,,,,,,,,,1,,Alabama
2003,7,238,Demetrin Veal,DE,2007,0,0,0,4,37,,,,,,,,,,,,,2.5,Tennessee
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,18,T.J. Duckett,RB,2008,0,0,1,21,92,0,1,0,0,0,717,2814,44,35,303,0,,,Michigan St.
2002,3,80,Will Overstreet,LB,2003,0,0,0,1,6,,,,,,,,,,,,,,Tennessee
2002,4,116,Martin Bibla,G,2004,0,0,0,3,31,,,,,,,,,,,,,,Miami (FL)
2002,5,148,Kevin McCadam,DB,2006,0,0,0,6,71,,,,,,,,,,,,,1.0,Colorado St.
2002,5,158,Kurt Kittner,QB,2003,0,0,0,1,7,44,114,391,2,6,8,13,0,,,,,,Illinois
2002,6,184,Kahlil Hill,WR,2002,0,0,0,0,1,,,,,,,,,,,,,,Iowa
2002,7,217,Michael Coleman,WR,,0,0,0,,,,,,,,,,,,,,,,Widener
2002,7,244,Kevin Shaffer,T,2010,0,0,5,35,132,,,,,,,,,,,,,,Tulsa
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,1,Michael Vick,QB,2012,0,4,7,88,121,1626,2889,20274,123,82,791,5551,34,2,3,0,,,Virginia Tech
2001,2,35,Alge Crumpler,TE,2010,0,4,10,55,155,,,,,,,,,373,4743,39,,,North Carolina
2001,4,99,Roberto Garza,G,2012,0,0,9,42,178,,,,,,,,,,,,,,Texas A&M-Kingsville
2001,4,102,Matt Stewart,LB,2006,0,0,4,26,93,,,,,,,,,,,,1,8.0,Vanderbilt
2001,5,136,Vinny Sutherland,WR,2002,0,0,0,0,16,,,,,,1,16,0,1,5,0,,,Purdue
2001,6,167,Randy Garner,DE,,0,0,0,,,,,,,,,,,,,,,,Arkansas
2001,7,215,Corey Hall,DB,2001,0,0,0,0,3,,,,,,,,,,,,,,Appalachian St.
2001,7,219,Kynan Forney,G,2009,0,0,5,29,98,,,,,,,,,,,,,,Hawaii
2001,7,226,Ronald Flemons,DE,2004,0,0,0,0,6,,,,,,,,,,,,,0.5,Texas A&M
2001,7,236,Quentin McCord,WR,2003,0,0,0,5,25,,,,,,4,13,0,23,427,1,,,Kentucky
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,2,37,Travis Claridge,G,2003,0,0,3,18,52,,,,,,,,,,,,,,USC
2000,3,67,Mark Simoneau,LB,2010,0,0,4,31,124,,,,,,,,,,,,1,7.0,Kansas St.
2000,4,100,Michael Thompson,T,2002,0,0,0,3,12,,,,,,,,,,,,,,Tennessee St.
2000,5,134,Anthony Midget,DB,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
2000,6,172,Mareno Philyaw,WR,2000,0,0,0,0,1,,,,,,,,,,,,,,
2000,7,211,Darrick Vaughn,DB,2003,0,0,0,10,48,,,,,,,,,,,,1,,Texas St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
