Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,7,249,Wayne Lucier,G,2004,0,0,1,7,27,,,,,,,,,,,,,,Colorado
2003,7,255,Kevin Walter,WR,2012,0,0,6,36,152,,,,,,13,82,0,356,4379,25,,,East. Michigan
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,14,Jeremy Shockey,TE,2011,1,4,10,63,136,,,,,,1,6,0,547,6143,37,,,Miami (FL)
2002,2,46,Tim Carter,WR,2009,0,0,0,9,71,,,,,,11,97,0,81,1090,4,,,Auburn
2002,3,78,Jeff Hatch,T,2003,0,0,0,1,4,,,,,,,,,,,,,,Pennsylvania
2002,5,152,Nick Greisen,LB,2008,0,0,2,21,98,,,,,,,,,,,,1,4.0,Wisconsin
2002,6,188,Wesly Mallard,LB,2006,0,0,0,3,59,,,,,,,,,,,,,,Oregon
2002,7,226,Daryl Jones,WR,2004,0,0,0,1,15,,,,,,1,4,0,8,90,0,,,Miami (FL)
2002,7,245,Quincy Monk,LB,2004,0,0,0,1,15,,,,,,,,,,,,,,North Carolina
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,22,Will Allen,DB,2012,0,0,8,45,140,,,,,,,,,,,,15,5.0,Syracuse
2001,3,78,Will James,DB,2010,0,0,3,24,97,,,,,,,,,,,,8,,West. Illinois
2001,4,114,Cedric Scott,DE,2002,0,0,0,1,13,,,,,,,,,,,,,,Southern Miss
2001,4,125,Jesse Palmer,QB,2003,0,0,0,1,8,63,120,562,3,4,5,20,0,,,,,,Florida
2001,5,160,John Markham,K,,0,0,0,,,,,,,,,,,,,,,,Vanderbilt
2001,5,162,Jonathan Carter,WR,2004,0,0,0,4,25,,,,,,,,,14,266,2,,,
2001,7,230,Ross Kolodziej,DT,2007,0,0,1,11,54,,,,,,,,,,,,,4.0,Wisconsin
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,11,Ron Dayne,RB,2007,0,0,1,22,96,,,,,,983,3722,28,57,340,0,,,Wisconsin
2000,2,42,Cornelius Griffin,DT,2009,0,0,9,59,146,,,,,,,,,,,,2,29.0,Alabama
2000,3,73,Ron Dixon,WR,2002,0,0,0,6,37,,,,,,3,13,0,36,696,4,,,Lambuth
2000,4,105,Brandon Short,LB,2006,0,0,5,32,100,,,,,,,,,,,,2,9.5,Penn St.
2000,5,140,Ralph Brown,DB,2009,0,0,0,14,129,,,,,,,,,,,,6,1.0,Nebraska
2000,6,177,Dhani Jones,LB,2010,0,0,9,54,157,,,,,,,,,,,,5,9.5,Michigan
2000,7,217,Jeremiah Parker,DE,2000,0,0,0,0,4,,,,,,,,,,,,,,California
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,19,Luke Petitgout,T,2007,0,0,8,43,118,,,,,,,,,,,,,,Notre Dame
1999,2,49,Joe Montgomery,RB,2002,0,0,1,2,13,,,,,,123,372,4,,,,,,Ohio St.
1999,3,79,Daniel Campbell,TE,2008,0,0,5,17,114,,,,,,,,,91,934,11,,,Texas A&M
1999,4,112,Sean Bennett,RB,2002,0,0,0,1,16,,,,,,29,126,1,9,64,0,,,Northwestern
1999,5,149,Mike Rosenthal,T,2006,0,0,3,27,89,,,,,,,,,,,,,,Notre Dame
1999,6,189,Lyle West,DB,2003,0,0,0,4,51,,,,,,,,,,,,,,San Jose St.
1999,6,205,Andre Weathers,DB,2000,0,0,0,1,10,,,,,,,,,,,,1,,Michigan
1999,7,225,Ryan Hale,DT,2000,0,0,0,2,25,,,,,,,,,,,,,,Arkansas
1999,7,231,O.J. Childress,LB,1999,0,0,0,0,4,,,,,,,,,,,,,,Clemson
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,24,Shaun Williams,DB,2006,0,0,5,33,104,,,,,,,,,,,,15,4.5,UCLA
1998,2,55,Joe Jurevicius,WR,2007,0,0,3,31,133,,,,,,,,,323,4119,29,,,Penn St.
1998,3,70,Brian Alford,WR,1999,0,0,0,0,4,,,,,,,,,2,18,1,,,Purdue
1998,5,147,Toby Myles,T,2001,0,0,0,0,11,,,,,,,,,,,,,,Jackson St.
