Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,4,105,Brandon Stokley,WR,2012,0,0,1,46,146,,,,,,9,32,0,384,5224,39,,,La-Lafayette
1999,4,129,Edwin Mulitalo,G,2008,0,0,9,34,132,,,,,,,,,,,,,,Arizona
1999,7,216,Anthony Poindexter,DB,2000,0,0,0,1,12,,,,,,,,,,,,,,Virginia
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,10,Duane Starks,DB,2006,0,0,4,35,98,,,,,,,,,,,,25,1.0,Miami (FL)
1998,2,42,Patrick Johnson,WR,2005,0,0,1,11,70,0,0,0,0,0,4,24,0,84,1286,10,,,Oregon
1998,5,124,Martin Chase,DT,2005,0,0,0,6,55,,,,,,,,,,,,,1.0,Oklahoma
1998,5,133,Ryan Sutter,DB,1998,0,0,0,0,1,,,,,,,,,,,,,,Colorado
1998,6,154,Ron Rogers,LB,,0,0,0,,,,,,,,,,,,,,,,Georgia Tech
1998,6,164,Sammy Williams,T,2002,0,0,0,6,29,,,,,,,,,,,,,,Oklahoma
1998,7,241,Cam Quayle,TE,,0,0,0,,,,,,,,,,,,,,,,Weber St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,4,Peter Boulware,LB,2005,0,4,7,59,126,,,,,,,,,,,,1,70.0,Florida St.
1997,2,34,Jamie Sharper,LB,2005,0,0,9,61,136,,,,,,,,,,,,2,25.5,Virginia
1997,2,58,Kim Herring,DB,2004,0,0,6,35,98,,,,,,,,,,,,8,2.0,Penn St.
1997,3,64,Jay Graham,RB,2002,0,0,0,3,36,,,,,,129,454,2,20,104,0,,,Tennessee
1997,4,118,Tyrus McCloud,LB,1998,0,0,0,2,23,,,,,,,,,,,,,,Louisville
1997,5,134,Jeff Mitchell,C,2005,0,0,8,34,119,,,,,,,,,,,,,,Florida
1997,6,167,Steve Lee,RB,,0,0,0,,,,,,,,,,,,,,,,Indiana
1997,6,194,Cornell Brown,LB,2004,0,0,1,17,108,,,,,,,,,,,,1,7.0,Virginia Tech
1997,7,205,Chris Ward,DE,1997,0,0,0,0,5,,,,,,,,,,,,,,Kentucky
1997,7,234,Wally Richardson,QB,1998,0,0,0,0,1,1,2,1,0,0,1,0,0,,,,,,Penn St.
1997,7,236,Ralph Staten,DB,1998,0,0,0,5,25,,,,,,,,,,,,5,1.0,Alabama
1997,7,238,Leland Taylor,DT,1997,0,0,0,0,1,,,,,,,,,,,,,,Louisville
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,4,Jonathan Ogden HOF,T,2007,4,11,12,89,177,,,,,,,,,2,2,2,,,UCLA
1996,1,26,Ray Lewis,LB,2012,7,13,14,159,228,,,,,,,,,,,,31,41.5,Miami (FL)
1996,2,55,DeRon Jenkins,DB,2001,0,0,3,19,93,,,,,,,,,,,,3,1.0,Tennessee
1996,5,153,Jermaine Lewis,WR,2004,1,2,2,22,111,1,1,3,0,0,30,148,0,143,2129,17,,,Maryland
1996,6,172,Dexter Daniels,LB,1996,0,0,0,0,4,,,,,,,,,,,,,,Florida
1996,6,186,James Roe,WR,1998,0,0,0,2,23,,,,,,,,,15,239,1,,,Norfolk St.
1996,7,238,Jon Stark,QB,,0,0,0,,,,,,,,,,,,,,,,
