Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2006,7,215,Cortland Finnegan,DB,2012,1,1,6,49,109,,,,,,,,,,,,17,7.0,Samford
2006,7,245,Spencer Toone,LB,2006,0,0,0,0,3,,,,,,,,,,,,,,Utah
2006,7,246,Quinton Ganther,RB,2010,0,0,0,3,36,,,,,,80,280,3,17,151,0,,,Utah
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,1,6,Pacman Jones,DB,2013,0,0,2,27,68,0,0,0,0,0,2,8,0,2,31,0,5,2.0,West Virginia
2005,2,41,Michael Roos,T,2012,1,1,8,54,127,,,,,,,,,1,-7,0,,,East. Washington
2005,3,68,Courtney Roby,WR,2012,0,0,0,4,88,,,,,,3,19,0,25,332,1,,,Indiana
2005,3,96,Brandon Jones,WR,2009,0,0,2,12,59,,,,,,6,76,0,113,1398,9,,,Oklahoma
2005,4,108,Vincent Fuller,DB,2011,0,0,0,8,76,,,,,,,,,,,,6,2.0,Virginia Tech
2005,4,113,David Stewart,T,2012,0,0,7,42,104,,,,,,,,,,,,,,Mississippi St.
2005,4,136,Roydell Williams,WR,2010,0,0,1,10,56,,,,,,2,-17,0,92,1248,6,,,Tulane
2005,5,142,Damien Nash,RB,2006,0,0,0,1,6,,,,,,24,98,0,7,55,0,,,Missouri
2005,5,150,Daniel Loper,T,2010,0,0,0,7,58,,,,,,,,,,,,,,Texas Tech
2005,6,179,Bo Scaife,TE,2011,0,0,4,29,90,,,,,,1,13,1,251,2383,12,,,Texas
2005,7,218,Reynaldo Hill,DB,2008,0,0,2,12,48,,,,,,,,,,,,6,,Florida
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,2,40,Ben Troupe,TE,2008,0,0,2,14,57,,,,,,1,-1,0,106,1056,7,,,Florida
2004,2,42,Travis LaBoy,DE,2011,0,0,3,21,95,,,,,,,,,,,,1,29.5,Hawaii
2004,2,57,Antwan Odom,DE,2010,0,0,4,23,74,,,,,,,,,,,,,23.5,Alabama
2004,3,71,Randy Starks,DT,2012,0,1,5,47,140,,,,,,,,,,,,4,32.5,Maryland
2004,3,92,Rich Gardner,DB,2006,0,0,0,2,28,,,,,,,,,,,,1,,Penn St.
2004,4,103,Bo Schobel,DE,2007,0,0,0,3,29,,,,,,,,,,,,,1.5,TCU
2004,4,124,Michael Waddell,DB,2008,0,0,0,4,33,,,,,,,,,,,,1,0.5,North Carolina
2004,5,138,Jacob Bell,G,2011,0,0,7,30,109,,,,,,1,-15,0,,,,,,
2004,5,165,Robert Reynolds,LB,2006,0,0,0,2,33,,,,,,,,,,,,,,Ohio St.
2004,6,191,Troy Fleming,RB,2005,0,0,0,3,29,,,,,,7,40,0,29,233,3,,,Tennessee
2004,7,230,Jared Clauss,DT,2005,0,0,0,2,29,,,,,,,,,,,,,0.5,Iowa
2004,7,239,Eugene Amano,C,2012,0,0,4,26,124,,,,,,,,,1,7,0,,,SE Missouri St.
2004,7,241,Sean McHugh,FB,2008,0,0,1,6,40,,,,,,,,,23,301,0,,,Penn St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,28,Andre Woolfolk,DB,2006,0,0,0,6,39,,,,,,,,,,,,3,,Oklahoma
2003,2,60,Tyrone Calico,WR,2005,0,0,0,5,27,,,,,,1,5,0,42,501,4,,,Middle Tenn. St.
2003,3,93,Chris Brown,RB,2009,0,0,2,23,68,0,1,0,0,1,722,3024,19,90,741,2,,,Colorado
2003,4,126,Rien Long,DT,2005,0,0,0,6,39,,,,,,,,,,,,,9.5,Washington St.
