Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,5,166,Verron Haynes,RB,2009,0,0,0,8,68,,,,,,174,738,3,61,449,2,,,Georgia
2002,6,202,Lee Mays,WR,2006,0,0,0,1,49,,,,,,,,,11,154,0,,,Texas-El Paso
2002,7,212,LaVar Glover,DB,2002,0,0,0,0,2,,,,,,,,,,,,,,Cincinnati
2002,7,242,Brett Keisel,DE,2012,0,1,7,53,128,,,,,,,,,,,,1,25.0,BYU
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,19,Casey Hampton,NT,2012,0,5,11,73,173,,,,,,,,,,,,,9.0,Texas
2001,2,39,Kendrell Bell,LB,2007,0,1,5,41,90,,,,,,,,,,,,1,20.5,Georgia
2001,4,111,Mathias Nkwenti,T,2003,0,0,0,0,2,,,,,,,,,,,,,,Temple
2001,5,146,Chukky Okobi,C,2007,0,0,0,7,78,,,,,,,,,,,,,,Purdue
2001,6,181,Rodney Bailey,DE,2007,0,0,0,7,84,,,,,,,,,,,,,9.5,Ohio St.
2001,6,182,Roger Knight,LB,2004,0,0,0,4,48,,,,,,,,,,,,,,Wisconsin
2001,7,218,Chris Taylor,WR,,0,0,0,,,,,,,,,,,,,,,,Texas A&M
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,8,Plaxico Burress,WR,2012,0,0,10,69,147,,,,,,1,-7,0,553,8499,64,,,Michigan St.
2000,2,38,Marvel Smith,T,2008,0,1,7,47,112,,,,,,,,,,,,,,Arizona St.
2000,3,72,Kendrick Clancy,DT,2009,0,0,3,23,109,,,,,,,,,,,,1,5.5,Mississippi
2000,3,77,Hank Poteat,DB,2009,0,0,1,20,110,,,,,,,,,,,,4,3.0,Pittsburgh
2000,4,103,Danny Farmer,WR,2002,0,0,0,5,33,,,,,,,,,43,611,1,,,UCLA
2000,5,137,Clark Haggans,LB,2012,0,0,7,48,171,,,,,,,,,,,,1,46.5,Colorado St.
2000,5,163,Tee Martin,QB,2003,0,0,0,0,3,6,16,69,0,1,6,36,0,,,,,,Tennessee
2000,6,173,Chris Combs,DE,2002,0,0,0,1,10,,,,,,,,,,,,,,Duke
2000,6,204,Jason Gavadza,TE,,0,0,0,,,,,,,,,,,,,,,,Kent St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1999,1,13,Troy Edwards,WR,2005,0,0,1,19,92,,,,,,16,46,1,203,2404,11,,,Louisiana Tech
1999,2,59,Scott Shields,DB,2000,0,0,0,5,26,,,,,,,,,,,,4,1.0,Weber St.
1999,3,73,Joey Porter,LB,2011,1,4,11,88,188,,,,,,,,,,,,12,98.0,Colorado St.
1999,3,74,Kris Farris,T,2001,0,0,0,1,3,,,,,,,,,,,,,,UCLA
1999,3,95,Amos Zereoue,RB,2005,0,0,0,22,84,,,,,,553,2137,10,137,1111,1,,,West Virginia
1999,4,109,Aaron Smith,DE,2011,0,1,9,70,160,,,,,,,,,,,,1,44.0,Northern Colorado
1999,5,136,Jerame Tuman,TE,2008,0,0,2,15,123,,,,,,,,,46,541,7,,,Michigan
1999,5,166,Malcolm Johnson,WR,2000,0,0,0,0,11,,,,,,,,,2,23,0,,,Notre Dame
1999,7,214,Antonio Dingle,DT,1999,0,0,0,0,9,,,,,,,,,,,,,,Virginia
1999,7,219,Chad Kelsay,LB,1999,0,0,0,0,6,,,,,,,,,,,,,,Nebraska
1999,7,228,Kris Brown,K,2010,0,0,11,0,179,,,,,,2,10,0,,,,,,Nebraska
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1998,1,26,Alan Faneca,G,2010,6,9,13,91,206,,,,,,,,,,,,,,LSU
1998,2,41,Jeremy Staat,DE,2003,0,0,0,3,30,,,,,,,,,,,,,,Arizona St.
1998,3,66,Chris Conrad,T,1999,0,0,0,3,17,,,,,,,,,,,,,,Fresno St.
1998,3,92,Hines Ward,WR,2011,0,4,13,87,217,1,2,17,0,0,57,428,1,1000,12083,85,,,Georgia
1998,4,117,Deshea Townsend,DB,2010,0,0,4,40,191,,,,,,,,,,,,21,15.5,Alabama
1998,4,123,Carlos King,RB,1998,0,0,0,0,1,,,,,,,,,,,,,,North Carolina St.
1998,5,137,Jason Simmons,DB,2007,0,0,0,10,121,,,,,,3,8,0,,,,2,2.0,Arizona St.
1998,6,178,Chris Fuamatu-Ma'afala,RB,2004,0,0,0,9,73,,,,,,227,964,8,43,351,2,,,Utah
1998,6,186,Ryan Olson,LB,,0,0,0,,,,,,,,,,,,,,,,Colorado
1998,7,221,Angel Rubio,DE,1999,0,0,0,0,2,,,,,,,,,,,,,,SE Missouri St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1997,1,24,Chad Scott,DB,2006,0,0,5,42,108,,,,,,,,,,,,21,,Maryland
1997,2,53,Will Blackwell,WR,2001,0,0,0,8,47,,,,,,2,14,0,67,682,2,,,San Diego St.
1997,3,82,Paul Wiggins,T,1998,0,0,0,0,2,,,,,,,,,,,,,,Oregon
1997,3,91,Mike Vrabel,LB,2010,1,1,10,65,206,,,,,,,,,10,14,10,11,57.0,Ohio St.
1997,5,154,George Jones,RB,1999,0,0,0,4,34,,,,,,119,371,1,17,105,1,,,San Diego St.
1997,6,186,Daryl Porter,DB,2001,0,0,0,7,55,,,,,,,,,1,44,0,1,,Boston Col.
1997,6,199,Rod Manuel,DE,1998,0,0,0,0,3,,,,,,,,,,,,,,Oklahoma
1997,7,223,Mike Adams,WR,1997,0,0,0,0,6,,,,,,,,,1,39,0,,,Texas
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
1996,1,29,Jamain Stephens,T,2001,0,0,1,7,39,,,,,,,,,,,,,,North Carolina A&T
1996,3,72,Steve Conley,LB,1998,0,0,0,1,21,,,,,,,,,,,,1,4.0,Arkansas
