Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,2,54,Darius Watts,WR,2005,0,0,0,4,22,,,,,,5,33,0,33,407,1,,,Marshall
2004,3,85,Jeremy LeSueur,DB,2005,0,0,0,0,2,,,,,,,,,,,,,,Michigan
2004,5,152,Jeff Shoate,DB,2007,0,0,0,0,14,,,,,,,,,,,,,,San Diego St.
2004,6,171,Triandos Luke,WR,2004,0,0,0,0,10,,,,,,,,,6,52,0,,,Alabama
2004,6,190,Josh Sewell,C,,0,0,0,,,,,,,,,,,,,,,,Nebraska
2004,7,225,Matt Mauck,QB,2005,0,0,0,1,3,15,27,136,0,1,7,39,0,,,,,,LSU
2004,7,247,Brandon Miree,RB,2006,0,0,0,0,10,,,,,,,,,9,57,0,,,Pittsburgh
2004,7,250,Bradlee Van Pelt,QB,2005,0,0,0,0,3,2,8,7,0,0,11,48,1,,,,,,Colorado St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,20,George Foster,T,2008,0,0,4,30,68,,,,,,,,,,,,,,Georgia
2003,2,51,Terry Pierce,LB,2004,0,0,0,1,18,,,,,,,,,,,,,,Kansas St.
2003,4,108,Quentin Griffin,RB,2004,0,0,0,6,16,,,,,,179,656,2,18,129,1,,,Oklahoma
2003,4,114,Nick Eason,DT,2012,0,0,0,18,116,,,,,,,,,,,,,7.0,Clemson
2003,4,128,Bryant McNeal,DE,,0,0,0,,,,,,,,,,,,,,,,Clemson
2003,5,157,Ben Claxton,G,2009,0,0,0,0,3,,,,,,,,,,,,,,Mississippi
2003,5,158,Adrian Madise,WR,2003,0,0,0,0,11,,,,,,1,10,0,2,10,0,,,TCU
