Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,6,177,Nick Rogers,LB,2005,0,0,1,8,46,,,,,,,,,,,,,2.0,Georgia Tech
2002,7,218,Chad Beasley,T,2003,0,0,0,2,8,,,,,,,,,,,,,,Virginia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,27,Michael Bennett,RB,2010,0,1,3,37,107,,,,,,842,3703,13,159,1294,6,,,Wisconsin
2001,2,57,Willie Howard,DE,2001,0,0,0,1,8,,,,,,,,,,,,,,Stanford
2001,3,69,Eric Kelly,DB,2003,0,0,2,9,48,,,,,,,,,,,,3,,Kentucky
2001,4,130,Shawn Worthen,DT,2001,0,0,0,0,4,,,,,,,,,,,,,,TCU
2001,4,131,Cedric James,WR,2002,0,0,0,0,5,,,,,,,,,1,29,0,,,TCU
2001,5,157,Patrick Chukwurah,LB,2007,0,0,0,7,78,,,,,,,,,,,,,9.0,Wyoming
2001,6,189,Carey Scott,DB,2003,0,0,0,0,7,,,,,,,,,,,,,,Kentucky St.
2001,7,225,Brian Crawford,T,,0,0,0,,,,,,,,,,,,,,,,West. Oregon
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,25,Chris Hovan,DT,2009,0,0,10,56,156,,,,,,,,,,,,,22.0,Boston Col.
2000,2,55,Fred Robbins,DT,2011,0,0,10,51,180,,,,,,,,,,,,3,35.5,Wake Forest
2000,2,56,Michael Boireau,DE,,0,0,0,,,,,,,,,,,,,,,,Miami (FL)
2000,3,88,Doug Chapman,RB,2003,0,0,0,3,26,,,,,,90,317,0,17,143,1,,,Marshall
2000,4,106,Antonio Wilson,LB,2002,0,0,0,2,16,,,,,,,,,,,,,,Texas A&M-Commerce
2000,4,118,Tyrone Carter,FS,2010,0,0,2,27,158,,,,,,,,,,,,9,5.5,Minnesota
