Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2005,6,209,Rob Petitti,T,2010,0,0,1,9,27,,,,,,,,,,,,,,Pittsburgh
2005,7,224,Jay Ratliff,DE,2012,1,4,5,51,104,,,,,,,,,,,,,27.0,Auburn
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,2,43,Julius Jones,RB,2010,0,0,6,40,94,,,,,,1280,5068,22,150,1029,2,,,Notre Dame
2004,2,52,Jacob Rogers,T,2004,0,0,0,0,2,,,,,,,,,,,,,,USC
2004,3,83,Stephen Peterman,G,2012,0,0,6,29,89,,,,,,,,,,,,,,LSU
2004,4,121,Bruce Thornton,DB,2005,0,0,1,4,13,,,,,,,,,,,,2,,Georgia
2004,5,144,Sean Ryan,TE,2009,0,0,0,7,53,,,,,,,,,26,240,2,,,Boston Col.
2004,7,205,Nate Jones,DB,2011,0,0,0,10,106,,,,,,,,,,,,3,6.0,Rutgers
2004,7,216,Patrick Crayton,WR,2011,0,0,3,33,105,0,3,0,0,1,6,39,0,247,3650,25,,,NW Oklahoma St.
2004,7,223,Jacques Reeves,DB,2012,0,0,2,16,90,,,,,,,,,,,,6,,Purdue
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,5,Terence Newman,DB,2012,0,2,10,61,148,,,,,,1,4,0,,,,34,2.0,Kansas St.
2003,2,38,Al Johnson,C,2008,0,0,3,16,66,,,,,,,,,,,,,,Wisconsin
2003,3,69,Jason Witten,TE,2012,2,8,9,82,159,1,1,42,0,0,,,,806,8948,44,,,Tennessee
2003,4,103,Bradie James,LB,2012,0,0,8,52,157,,,,,,,,,,,,2,16.0,LSU
2003,6,178,B.J. Tucker,DB,2006,0,0,0,0,10,,,,,,,,,,,,,,Wisconsin
2003,6,186,Zuriel Smith,WR,2003,0,0,0,0,9,,,,,,,,,3,46,0,,,Hampton
2003,7,219,Justin Bates,G,,0,0,0,,,,,,,,,,,,,,,,Colorado
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,8,Roy Williams,DB,2010,1,5,7,58,114,,,,,,,,,,,,20,7.5,Oklahoma
2002,2,37,Andre Gurode,G,2011,0,5,8,53,151,,,,,,,,,,,,,,Colorado
2002,2,63,Antonio Bryant,WR,2009,0,0,6,44,106,,,,,,11,65,0,372,5685,30,,,Pittsburgh
2002,3,75,Derek Ross,DB,2004,0,0,1,8,33,,,,,,,,,,,,6,,Ohio St.
2002,4,129,Jamar Martin,FB,2006,0,0,0,2,25,,,,,,4,7,0,6,24,0,,,Ohio St.
2002,5,168,Pete Hunter,DB,2006,0,0,0,5,36,,,,,,,,,,,,3,1.0,Virginia Union
2002,6,179,Tyson Walter,C,2006,0,0,1,4,46,,,,,,,,,,,,,,Ohio St.
2002,6,208,DeVeren Johnson,WR,,0,0,0,,,,,,,,,,,,,,,,Sacred Heart
2002,6,211,Bob Slowikowski,TE,,0,0,0,,,,,,,,,,,,,,,,Virginia Tech
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,2,53,Quincy Carter,QB,2004,0,0,2,16,38,542,960,6337,32,37,152,518,3,,,,,,Georgia
2001,2,56,Tony Dixon,DB,2004,0,0,0,9,56,,,,,,,,,,,,1,6.0,Alabama
2001,3,93,Willie Blade,DT,2004,0,0,1,8,20,,,,,,,,,,,,,1.0,Mississippi St.
2001,4,122,Markus Steele,LB,2003,0,0,1,7,42,,,,,,,,,,,,,,USC
2001,5,137,Matt Lehr,C,2008,0,0,3,18,98,,,,,,,,,,,,,,Virginia Tech
2001,6,171,Daleroy Stewart,DT,2004,0,0,0,2,26,,,,,,,,,,,,,1.5,Southern Miss
2001,7,207,Colston Weatherington,DE,2002,0,0,0,0,3,,,,,,,,,,,,,,Central Missouri St.
2001,7,240,John Nix,DT,2004,0,0,0,2,31,,,,,,,,,,,,,,Southern Miss
2001,7,242,Char-ron Dorsey,T,2002,0,0,0,1,11,,,,,,,,,,,,,,Florida St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,2,49,Dwayne Goodrich,DB,2002,0,0,0,1,16,,,,,,,,,,,,,,Tennessee
2000,4,109,Kareem Larrimore,DB,2001,0,0,0,3,19,,,,,,,,,,,,,,West Texas A&M
2000,5,144,Michael Wiley,RB,2002,0,0,0,4,42,0,0,0,0,0,80,503,1,43,315,2,,,Ohio St.
