Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2004,7,226,Christian Ferrara,DT,,0,0,0,,,,,,,,,,,,,,,,Syracuse
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2003,1,26,Kwame Harris,T,2008,0,0,3,20,86,,,,,,,,,,,,,,Stanford
2003,2,57,Anthony Adams,DT,2011,0,0,4,32,121,,,,,,,,,,,,,10.5,Penn St.
2003,3,89,Andrew Williams,DE,2004,0,0,0,1,9,,,,,,,,,,,,,,Miami (FL)
2003,4,124,Brandon Lloyd,WR,2012,0,1,6,45,128,0,1,0,0,0,1,-18,0,385,5695,35,,,Illinois
2003,5,161,Aaron Walker,TE,2007,0,0,0,8,55,,,,,,,,,25,312,1,,,Florida
2003,6,197,Arnaz Battle,WR,2011,0,0,2,18,113,2,3,27,0,0,22,77,1,178,2150,11,,,Notre Dame
2003,7,241,Ken Dorsey,QB,2008,0,0,0,2,18,214,408,2082,8,18,11,18,0,,,,,,Miami (FL)
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,27,Mike Rumph,DB,2006,0,0,1,8,43,,,,,,,,,,,,3,2.0,Miami (FL)
2002,3,69,Saleem Rasheed,LB,2005,0,0,0,4,45,,,,,,,,,,,,,1.0,Alabama
2002,4,102,Jeff Chandler,K,2004,0,0,0,0,13,,,,,,,,,,,,,,Florida
2002,4,127,Kevin Curtis,DB,,0,0,0,,,,,,,,,,,,,,,,Texas Tech
2002,5,163,Brandon Doman,QB,,0,0,0,,,,,,,,,,,,,,,,BYU
2002,5,172,Josh Shaw,DT,2008,0,0,0,1,14,,,,,,,,,,,,,1.0,Michigan St.
2002,6,201,Mark Anelli,TE,2002,0,0,0,0,2,,,,,,,,,,,,,,Wisconsin
2002,7,239,Eric Heitmann,G,2009,0,0,7,32,119,,,,,,,,,,,,,,Stanford
2002,7,248,Kyle Kosier,G,2011,0,0,8,43,143,,,,,,,,,,,,,,Arizona St.
2002,7,256,Teddy Gaines,DB,,0,0,0,,,,,,,,,,,,,,,,Tennessee
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,1,7,Andre Carter,DE,2012,0,1,10,60,175,,,,,,,,,,,,,78.5,California
2001,2,47,Jamie Winborn,LB,2010,0,0,2,21,100,,,,,,,,,,,,3,10.0,Vanderbilt
2001,3,80,Kevan Barlow,RB,2006,0,0,2,35,84,,,,,,1022,3984,30,144,1164,3,,,Pittsburgh
2001,6,169,Cedrick Wilson,WR,2007,0,0,2,22,100,2,2,27,0,0,7,53,0,178,2365,8,,,Tennessee
2001,6,179,Rashad Holman,DB,2003,0,0,0,4,46,,,,,,,,,,,,2,,Louisville
2001,6,191,Menson Holloway,DE,,0,0,0,,,,,,,,,,,,,,,,Texas-El Paso
2001,7,209,Alex Lincoln,LB,,0,0,0,,,,,,,,,,,,,,,,Auburn
2001,7,224,Eric Johnson,TE,2007,0,0,5,26,71,,,,,,,,,240,2178,9,,,Yale
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,16,Julian Peterson,LB,2010,1,5,9,68,158,,,,,,,,,,,,8,51.5,Michigan St.
2000,1,24,Ahmed Plummer,DB,2005,0,0,5,24,70,,,,,,,,,,,,12,,Ohio St.
2000,2,35,John Engelberger,DE,2008,0,0,5,32,139,,,,,,,,,,,,,20.5,Virginia Tech
