Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2002,1,6,Ryan Sims,DT,2010,0,0,3,22,105,,,,,,,,,,,,1,8.5,North Carolina
2002,2,43,Eddie Freeman,DE,2003,0,0,0,1,20,,,,,,,,,,,,,4.0,Ala-Birmingham
2002,4,107,Omar Easy,FB,2005,0,0,0,4,53,,,,,,4,1,0,6,42,1,,,Penn St.
2002,5,143,Scott Fujita,LB,2012,0,0,10,47,143,,,,,,,,,,,,7,23.5,California
2002,7,221,Maurice Rodriguez,LB,,0,0,0,,,,,,,,,,,,,,,,Fresno St.
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2001,3,75,Eric Downing,DT,2004,0,0,1,7,45,,,,,,,,,,,,,2.0,Syracuse
2001,3,77,Snoop Minnis,WR,2002,0,0,1,5,15,,,,,,,,,34,515,1,,,Florida St.
2001,4,107,Monty Beisel,LB,2009,0,0,0,11,119,,,,,,,,,,,,2,4.5,Kansas St.
2001,4,108,George Layne,RB,2004,0,0,0,0,11,,,,,,3,32,0,4,20,0,,,TCU
2001,5,141,Bill Baber,TE,2004,0,0,0,2,30,,,,,,,,,4,37,1,,,Virginia
2001,5,150,Derrick Blaylock,RB,2006,0,0,0,11,51,,,,,,198,820,10,53,520,2,,,S.F. Austin
2001,6,176,Alex Sulfsted,T,2004,0,0,0,2,17,,,,,,,,,,,,,,
2001,7,212,Shaunard Harts,DB,2004,0,0,1,8,51,,,,,,,,,,,,2,2.0,Boise St.
2001,7,243,Terdell Sands,DT,2009,0,0,1,11,77,,,,,,,,,,,,1,4.0,Tenn-Chattanooga
,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,
Year,Rnd,Pick,,Pos,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2000,1,21,Sylvester Morris,WR,2000,0,0,1,6,15,1,1,31,0,0,,,,48,678,3,,,Jackson St.
2000,2,54,William Bartee,DB,2005,0,0,2,13,87,,,,,,,,,,,,,3.5,Oklahoma
2000,3,85,Greg Wesley,DB,2007,0,0,7,39,118,,,,,,,,,,,,29,6.0,Ark-Pine Bluff
2000,4,115,Frank Moreau,RB,2001,0,0,0,1,15,,,,,,75,206,5,,,,,,Louisville
2000,5,153,Dante Hall,WR,2008,1,2,0,29,112,0,1,0,0,0,54,242,0,162,1747,9,,,Texas A&M
